"","Group","Exploration.Proportion","Time.Moved.Object","Time.Unmoved.Object","Cresyl.Violet","GFAP","Iba1","Caspase.3","ERA","ERB"
"25","SI-Veh",0.429383562106295,12.2826796618405,3.09123685212391,1492,0.00751964768223628,0.00829096053455923,6129.44444444444,575,770
"26","SI-Veh",0.443486022759863,5.799636788915,2.37587003233623,1635,0.00538496475574277,0.00645992637033732,3782,560,996
"27","SI-Veh",0.462235241845266,7.44722689355983,2.84754432484995,1524.42857142857,0.00323764080300818,0.00914489915170431,6353,685,877
"28","SI-Veh",0.422337058374787,12.2826796618405,3.09123685212391,1524.42857142857,0.00775411578027053,0.0141880599334516,5827,474.333333333333,909.714285714286
"29","SI-Veh",0.466925553909239,5.85574514802135,1.7200330776008,1496,0.0104091292534353,0.0151148281142852,7896,318,938
"30","SI-Veh",0.424164825554024,16.2386711997519,6.51172883286852,1641,0.00843163509983118,0.0109266159786986,6129.44444444444,466,851
"31","SI-Veh",0.422337058374787,4.71135653996191,0.855680895677685,1509,0.00649642166507694,0.00759527461751641,6129.44444444444,606,856
"32","SI-Veh",0.465939288829836,28.5258510655386,2.86350238289696,1524.42857142857,0.00890683420390342,0.0109897396799414,7564,474.333333333333,909.714285714286
"33","SI-Veh",0.353975261916648,12.2826796618405,3.09123685212391,1524.42857142857,0.0102527360998924,0.0109897396799414,4929,392,1080
"34","SI-Veh",0.422337058374787,19.654470665716,5.32772124120703,1434,0.00889140517274745,0.0156222568199013,6986,474.333333333333,909.714285714286
"35","SI-Veh",0.387215660416178,7.64765960838195,2.55962648382756,1464,0.0129881209423872,0.00516009561227267,3189,331,909.714285714286
"36","SI-Veh",0.367708108035736,14.6634990467177,2.75942439785049,1524.42857142857,0.0166093589883093,0.0173944796666873,8639,336,909.714285714286
"37","SI-TMX",0.683144057719189,16.3677112203126,4.14346250937528,2475,0.00305409290157838,0.00832537870042006,579,1074,1397
"38","SI-TMX",0.705880618054067,11.0553506139188,4.19930459194203,2056.55555555556,0.00327482675084227,0.00920870472242413,3155,828,1361
"39","SI-TMX",0.705880618054067,7.40776081817947,2.18396897847423,2056.55555555556,0.003181144060982,0.00957133673147105,1006,776,1224.66666666667
"40","SI-TMX",0.911397147848393,10.159280324326,5.69547231032889,2570,0.00335745227406283,0.00656688805446236,1514.28571428571,806.666666666667,1224.66666666667
"41","SI-TMX",0.646196127081661,13.7752372703134,6.20746000600518,1947,0.0041002209805242,0.00433082183663643,1514.28571428571,807,910
"42","SI-TMX",0.844213298854042,13.055306131527,2.03212277387252,1989,0.001864098822697,0.00770617836182931,2889,579,852
"43","SI-TMX",0.636623972788498,11.0235231537027,2.4716866487337,1668,0.00619611267549116,0.00427677093850553,838,661,1279
"44","SI-TMX",0.709203684564425,5.99997590537112,2.21544459532763,1728,0.00218911035632509,0.00466864680213194,1514.28571428571,870,1177
"45","SI-TMX",0.577242975509741,11.9269423051022,4.93474464018071,2024,0.00257089147030207,0.00452010402223323,727,803,1007
"46","SI-TMX",0.63241664634821,27.8475168322606,3.81501595805801,2370,0.00227837128097219,0.00649405037450952,1514.28571428571,806.666666666667,1468
"47","SI-TMX",0.712487651772444,13.5823563682105,1.59174029944065,1738,0.00395677268548779,0.00656688805446236,1406,862,1571
